Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"ESB","Soil nutrient budget","1","Armenia","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","8.5893","Fc","Calculated data"
"ESB","Soil nutrient budget","1","Armenia","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","3836.201","Fc","Calculated data"
"ESB","Soil nutrient budget","1","Armenia","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","7.601","Fc","Calculated data"
"ESB","Soil nutrient budget","1","Armenia","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","10445.0809","Fc","Calculated data"
"ESB","Soil nutrient budget","1","Armenia","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","20.6956","Fc","Calculated data"
"ESB","Soil nutrient budget","1","Armenia","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","93.13","Fc","Calculated data"
"ESB","Soil nutrient budget","1","Armenia","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","0.1845","Fc","Calculated data"
"ESB","Soil nutrient budget","10","Australia","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","1411216","W","Data reported on country official publications or web sites (Official) or trade country files"
"ESB","Soil nutrient budget","10","Australia","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","45.0781","Fc","Calculated data"
"ESB","Soil nutrient budget","10","Australia","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","149938.6693","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","10","Australia","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","4.7895","Fc","Calculated data"
"ESB","Soil nutrient budget","10","Australia","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","86550.4122","Fc","Calculated data"
"ESB","Soil nutrient budget","10","Australia","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","2.7647","Fc","Calculated data"
"ESB","Soil nutrient budget","10","Australia","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","941344.7331","Fc","Calculated data"
"ESB","Soil nutrient budget","10","Australia","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","30.0691","Fc","Calculated data"
"ESB","Soil nutrient budget","10","Australia","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","131703.64","Fc","Calculated data"
"ESB","Soil nutrient budget","10","Australia","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","4.207","Fc","Calculated data"
"ESB","Soil nutrient budget","11","Austria","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","114347","Fm","Manual Estimation"
"ESB","Soil nutrient budget","11","Austria","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","82.0268","Fc","Calculated data"
"ESB","Soil nutrient budget","11","Austria","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","98489.339","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","11","Austria","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","70.6513","Fc","Calculated data"
"ESB","Soil nutrient budget","11","Austria","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","22942.929","Fc","Calculated data"
"ESB","Soil nutrient budget","11","Austria","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","16.4581","Fc","Calculated data"
"ESB","Soil nutrient budget","11","Austria","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","99032.1839","Fc","Calculated data"
"ESB","Soil nutrient budget","11","Austria","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","71.0407","Fc","Calculated data"
"ESB","Soil nutrient budget","11","Austria","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","16691.78","Fc","Calculated data"
"ESB","Soil nutrient budget","11","Austria","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","11.9738","Fc","Calculated data"
"ESB","Soil nutrient budget","52","Azerbaijan","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","118933.89","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"ESB","Soil nutrient budget","52","Azerbaijan","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","50.5478","Fc","Calculated data"
"ESB","Soil nutrient budget","52","Azerbaijan","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","13566.8299","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","52","Azerbaijan","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","5.766","Fc","Calculated data"
"ESB","Soil nutrient budget","52","Azerbaijan","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","17817.293","Fc","Calculated data"
"ESB","Soil nutrient budget","52","Azerbaijan","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","7.5725","Fc","Calculated data"
"ESB","Soil nutrient budget","52","Azerbaijan","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","89897.5498","Fc","Calculated data"
"ESB","Soil nutrient budget","52","Azerbaijan","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","38.2071","Fc","Calculated data"
"ESB","Soil nutrient budget","52","Azerbaijan","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","1710.48","Fc","Calculated data"
"ESB","Soil nutrient budget","52","Azerbaijan","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","0.727","Fc","Calculated data"
"ESB","Soil nutrient budget","12","Bahamas","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","662.04","Fb","Data obtained as a balance"
"ESB","Soil nutrient budget","12","Bahamas","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","55.17","Fc","Calculated data"
"ESB","Soil nutrient budget","12","Bahamas","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","774.8237","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","12","Bahamas","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","64.5686","Fc","Calculated data"
"ESB","Soil nutrient budget","12","Bahamas","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","51.8436","Fc","Calculated data"
"ESB","Soil nutrient budget","12","Bahamas","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","4.3203","Fc","Calculated data"
"ESB","Soil nutrient budget","12","Bahamas","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","246.1908","Fc","Calculated data"
"ESB","Soil nutrient budget","12","Bahamas","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","20.5159","Fc","Calculated data"
"ESB","Soil nutrient budget","12","Bahamas","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","9.9","Fc","Calculated data"
"ESB","Soil nutrient budget","12","Bahamas","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","0.825","Fc","Calculated data"
"ESB","Soil nutrient budget","13","Bahrain","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","3070.24","Fb","Data obtained as a balance"
"ESB","Soil nutrient budget","13","Bahrain","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","94.8118","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","13","Bahrain","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","20.6113","Fc","Calculated data"
"ESB","Soil nutrient budget","13","Bahrain","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","25.1556","Fc","Calculated data"
"ESB","Soil nutrient budget","13","Bahrain","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","5.4686","Fc","Calculated data"
"ESB","Soil nutrient budget","13","Bahrain","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","25.0703","Fc","Calculated data"
"ESB","Soil nutrient budget","13","Bahrain","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","5.4501","Fc","Calculated data"
"ESB","Soil nutrient budget","13","Bahrain","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","0","Fc","Calculated data"
"ESB","Soil nutrient budget","13","Bahrain","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","0","Fc","Calculated data"
"ESB","Soil nutrient budget","16","Bangladesh","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","1330580","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"ESB","Soil nutrient budget","16","Bangladesh","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","154.6772","Fc","Calculated data"
"ESB","Soil nutrient budget","16","Bangladesh","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","259362.8244","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","16","Bangladesh","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","30.1504","Fc","Calculated data"
"ESB","Soil nutrient budget","16","Bangladesh","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","251797.6903","Fc","Calculated data"
"ESB","Soil nutrient budget","16","Bangladesh","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","29.271","Fc","Calculated data"
"ESB","Soil nutrient budget","16","Bangladesh","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","901974.2273","Fc","Calculated data"
"ESB","Soil nutrient budget","16","Bangladesh","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","104.8527","Fc","Calculated data"
"ESB","Soil nutrient budget","16","Bangladesh","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","25356.55","Fc","Calculated data"
"ESB","Soil nutrient budget","16","Bangladesh","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","2.9476","Fc","Calculated data"
"ESB","Soil nutrient budget","14","Barbados","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","230.18","Fb","Data obtained as a balance"
"ESB","Soil nutrient budget","14","Barbados","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","28.7725","Fc","Calculated data"
"ESB","Soil nutrient budget","14","Barbados","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","1368.5226","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","14","Barbados","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","171.0653","Fc","Calculated data"
