Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","40","Chile","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","18729.16","X","International reliable sources",""
"OA","Annual population","40","Chile","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","9228.416","X","International reliable sources",""
"OA","Annual population","40","Chile","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","9500.75","X","International reliable sources",""
"OA","Annual population","40","Chile","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","2262.995","X","International reliable sources",""
"OA","Annual population","40","Chile","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","15934.214","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","44","Colombia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","49661.048","X","International reliable sources",""
"OA","Annual population","44","Colombia","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","24370.78","X","International reliable sources",""
"OA","Annual population","44","Colombia","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","25290.276","X","International reliable sources",""
"OA","Annual population","44","Colombia","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","9508.27","X","International reliable sources",""
"OA","Annual population","44","Colombia","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","39956.413","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","48","Costa Rica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4999.441","X","International reliable sources",""
"OA","Annual population","48","Costa Rica","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","2499.229","X","International reliable sources",""
"OA","Annual population","48","Costa Rica","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","2500.214","X","International reliable sources",""
"OA","Annual population","48","Costa Rica","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1023.354","X","International reliable sources",""
"OA","Annual population","48","Costa Rica","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","3929.845","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","49","Cuba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11338.134","X","International reliable sources",""
"OA","Annual population","49","Cuba","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","5631.334","X","International reliable sources",""
"OA","Annual population","49","Cuba","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5706.812","X","International reliable sources",""
"OA","Annual population","49","Cuba","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","2638.265","X","International reliable sources",""
"OA","Annual population","49","Cuba","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","8850.817","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","279","Curaçao","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","162.752","X","International reliable sources",""
"OA","Annual population","279","Curaçao","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","74.711","X","International reliable sources",""
"OA","Annual population","279","Curaçao","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","88.042","X","International reliable sources",""
"OA","Annual population","279","Curaçao","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","17.54","X","International reliable sources",""
"OA","Annual population","279","Curaçao","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","144.037","X","International reliable sources",""
"OA","Annual population","55","Dominica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","71.625","X","International reliable sources",""
"OA","Annual population","55","Dominica","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","21.933","X","International reliable sources",""
"OA","Annual population","55","Dominica","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","52.375","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","56","Dominican Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","10627.141","X","International reliable sources",""
"OA","Annual population","56","Dominican Republic","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","5312.745","X","International reliable sources",""
"OA","Annual population","56","Dominican Republic","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5314.402","X","International reliable sources",""
"OA","Annual population","56","Dominican Republic","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","2059.693","X","International reliable sources",""
"OA","Annual population","56","Dominican Republic","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","8823.303","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","58","Ecuador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","17084.358","X","International reliable sources",""
"OA","Annual population","58","Ecuador","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","8547.198","X","International reliable sources",""
"OA","Annual population","58","Ecuador","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","8537.161","X","International reliable sources",""
"OA","Annual population","58","Ecuador","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","6101.055","X","International reliable sources",""
"OA","Annual population","58","Ecuador","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","10762.37","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","60","El Salvador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","6420.746","X","International reliable sources",""
"OA","Annual population","60","El Salvador","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","3010.428","X","International reliable sources",""
"OA","Annual population","60","El Salvador","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","3410.312","X","International reliable sources",""
"OA","Annual population","60","El Salvador","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1793.751","X","International reliable sources",""
"OA","Annual population","60","El Salvador","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","4617.807","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","65","Falkland Islands (Malvinas)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","3.234","X","International reliable sources",""
"OA","Annual population","65","Falkland Islands (Malvinas)","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","0.653","X","International reliable sources",""
"OA","Annual population","65","Falkland Islands (Malvinas)","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","2.269","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","69","French Guyana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","282.938","X","International reliable sources",""
"OA","Annual population","69","French Guyana","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","139.739","X","International reliable sources",""
"OA","Annual population","69","French Guyana","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","143.197","X","International reliable sources",""
"OA","Annual population","69","French Guyana","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","42.568","X","International reliable sources",""
"OA","Annual population","69","French Guyana","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","247.195","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","85","Greenland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","56.564","X","International reliable sources",""
"OA","Annual population","85","Greenland","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","7.458","X","International reliable sources",""
"OA","Annual population","85","Greenland","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","49.107","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","86","Grenada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","111.454","X","International reliable sources",""
"OA","Annual population","86","Grenada","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","56.162","X","International reliable sources",""
"OA","Annual population","86","Grenada","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","55.287","X","International reliable sources",""
"OA","Annual population","86","Grenada","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","69.042","X","International reliable sources",""
"OA","Annual population","86","Grenada","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","39.297","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","87","Guadeloupe","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","399.848","X","International reliable sources",""
"OA","Annual population","87","Guadeloupe","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","184.772","X","International reliable sources",""
