Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","NZL","New Zealand","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4743.131","X","International reliable sources",""
"OA","Annual population","NIC","Nicaragua","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","6465.501","X","International reliable sources",""
"OA","Annual population","NER","Niger","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","22442.822","X","International reliable sources",""
"OA","Annual population","NGA","Nigeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","195874.683","X","International reliable sources",""
"OA","Annual population","NIU","Niue","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1.62","X","International reliable sources",""
"OA","Annual population","MKD","North Macedonia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2082.957","X","International reliable sources",""
"OA","Annual population","MNP","Northern Mariana Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","56.882","X","International reliable sources",""
"OA","Annual population","NOR","Norway","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","5337.962","X","International reliable sources",""
"OA","Annual population","OMN","Oman","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4829.473","X","International reliable sources",""
"OA","Annual population","PAK","Pakistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","212228.286","X","International reliable sources",""
"OA","Annual population","PLW","Palau","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","17.907","X","International reliable sources",""
"OA","Annual population","PSE","Palestine","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4862.979","X","International reliable sources",""
"OA","Annual population","PAN","Panama","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4176.869","X","International reliable sources",""
"OA","Annual population","PNG","Papua New Guinea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","8606.323","X","International reliable sources",""
"OA","Annual population","PRY","Paraguay","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","6956.066","X","International reliable sources",""
"OA","Annual population","PER","Peru","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","31989.26","X","International reliable sources",""
"OA","Annual population","PHL","Philippines","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","106651.394","X","International reliable sources",""
"OA","Annual population","POL","Poland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","37921.592","X","International reliable sources",""
"OA","Annual population","PRT","Portugal","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","10256.193","X","International reliable sources",""
"OA","Annual population","PRI","Puerto Rico","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","3039.596","X","International reliable sources",""
"OA","Annual population","QAT","Qatar","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2781.682","X","International reliable sources",""
"OA","Annual population","KOR","Republic of Korea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","51171.706","X","International reliable sources",""
"OA","Annual population","MDA","Republic of Moldova","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","4051.944","X","International reliable sources",""
"OA","Annual population","REU","Réunion","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","882.526","X","International reliable sources",""
"OA","Annual population","ROU","Romania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","19506.114","X","International reliable sources",""
"OA","Annual population","RUS","Russian Federation","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","145734.038","X","International reliable sources",""
"OA","Annual population","RWA","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","12301.97","X","International reliable sources",""
"OA","Annual population","BLM","Saint Barthélemy","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","9.816","X","International reliable sources",""
"OA","Annual population","SHN","Saint Helena, Ascension and Tristan da Cunha","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","6.035","X","International reliable sources",""
"OA","Annual population","KNA","Saint Kitts and Nevis","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","52.441","X","International reliable sources",""
